A0,PA3
A1,PC0
A2,PC3
A3,PB1
A4,PC2
A5,PF10
A6,PF4
A7,PF5
A8,PF6
D0,PB7
D1,PB6
D2,PG14
D3,PE13
D4,PE14
D5,PE11
D6,PE9
D7,PG12
D8,PF3
D9,PD15
D10,PD14
D11,PB5
D12,PA6
D13,PA7
D14,PB9
D15,PB8
D16,PC6
D17,PB15
D18,PB13
D19,PB12
D20,PA15
D21,PC7
D22,PB5
D23,PB3
D24,PA4
D25,PB4
D26,PG6
D27,PB2
D28,PD13
D29,PD12
D30,PD11
D31,PE2
D32,PA0
D33,PB0
D34,PE0
D35,PB11
D36,PB10
D37,PE15
D38,PE6
D39,PE12
D40,PE10
D41,PE7
D42,PE8
D43,PC8
D44,PC9
D45,PC10
D46,PC11
D47,PC12
D48,PD2
D49,PG2
D50,PG3
D51,PD7
D52,PD6
D53,PD5
D54,PD4
D55,PD3
D56,PE2
D57,PE4
D58,PE5
D59,PE6
D60,PE3
D61,PF8
D62,PF7
D63,PF9
D64,PG1
D65,PG0
D66,PD1
D67,PD0
D68,PF0
D69,PF1
D70,PF2
D71,PE9
D72,PB2
D73,PK0
D74,PJ10
D75,PI12
D76,PI13
D77,PI10
D78,PI7
D79,PI8
D80,PI4
DAC1,PA4
DAC2,PA5
LED1,PJ0
LED2,PJ1
LED3,PJ2
LED4,PJ3
LED5,PJ4
LED6,PJ5
LED7,PJ6
LED8,PJ7
I2C2_SCL,PH4
I2C2_SDA,PH5
I2C4_SCL,PB6
I2C4_SDA,PH12
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
SD_SW,PC13
USB_VBUS,PA9
USB_ID,PA10
USB_DM,PA11
USB_DP,PA12
UART2_TX,PD5
UART2_RX,PD6
UART4_TX,PB9
UART4_RX,PH14
UART7_TX,PF7
UART7_RX,PF6
UART8_TX,PJ8
UART8_RX,PE0
ETH_MDC,PC1
ETH_MDIO,PA2
ETH_RMII_REF_CLK,PA1
ETH_RMII_CRS_DV,PA7
ETH_RMII_RXD0,PC4
ETH_RMII_RXD1,PC5
ETH_RMII_TX_EN,PB11
ETH_RMII_TXD0,PB12
ETH_RMII_TXD1,PB13
SPI1_NSS,PG10
SPI1_SCK,PG11
SPI1_MISO,PG9
SPI1_MOSI,PD7
SPI2_NSS,PI0
SPI2_SCK,PI1
SPI2_MISO,PI2
SPI2_MOSI,PI3
CAN1_TX,PH13
BTN1,PJ12
BTN2,PJ13
